Nome file,Dimensione,Cartella Diretta,Cartella Base,HDD
Ano.Hana.ep.11.-.BDRip.1080p.x264.AC3.Ita.Jap.Sub.Ita.Il.fiore.sbocciato.quell'estate.mkv,532MB,Ano Hana BDMux 1080p ITA-JAP,ANIME,Arietty
Ant-Man.2015.iTA.ENG.AC3.1080p.BluRay.x264-T4P3.mkv,8.6GB,Marvel Cinematic Universe,FILM MARVEL,Arietty
Ant-Man.and.the.Wasp.Quantumania.2023.BluRay.1080p.DDP7.1.DD5.1.ITA.DDP7.1.DD5.1.ENG.Subs.x264-WGZ.mkv,12.6GB,Marvel Cinematic Universe,FILM MARVEL,Arietty
Ant.Man.and.the.Wasp.2018.BluRay.1080p.EAC3.AC3.ITA.AC3.ENG.Subs.x264-WGZ.mkv,8.0GB,Marvel Cinematic Universe,FILM MARVEL,Arietty
Apocalypse.Now.1979.Final.Cut.iTA.ENG.AC3.SUB.iTA.ENG.HEVC.1080p.x265.jeddak-MIRCrew.mkv,3.8GB,FILM,,Arietty
Appleseed.Alpha.(2014).1080p.BluRay.Dts.ITA.Ac3.ENG.Subs.x264.mkv,4.3GB,FILM,,Arietty
"Asso (1981 Adriano Celentano, Edwige Fenech, Renato Salvatori) - DVDRip CRUSADERS.avi",1.5GB,FILM,,Arietty
Avengers Confidential - La Vedova Nera & Punisher (2014 - BDRip 1080p x264 - Ita AC3 5.1 Eng DTS 5.1 - SoftSub Eng).mkv,6.3GB,CARTONI ANIMATI,,Arietty
Avengers.Age.of.Ultron.2015.BluRay.1080p.DTS.ITA.AC3.ENG.Subs.x264-WGZ.mkv,9.7GB,Marvel Cinematic Universe,FILM MARVEL,Arietty
Avengers.Endgame.2019.BluRay.1080p.EAC3.AC3.ITA.AC3.ENG.Subs.x264-WGZ.mkv,12.4GB,Marvel Cinematic Universe,FILM MARVEL,Arietty
Avengers.Infinity.War.2018.BluRay.1080p.EAC3.AC3.ITA.AC3.ENG.Subs.x264-WGZ.mkv,10.7GB,Marvel Cinematic Universe,FILM MARVEL,Arietty
Balle.Spaziali.1987.BDRtL.720p.x264.DTS.iTA.AAC.eNG-Arlong.mkv,4.4GB,FILM,,Arietty
Ballers.S01E01.Pilot.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.SUB.ITA-ENG.mkv,829MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S01E02.Raise.Up.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,1014MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S01E03.Move.The.Chains.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,1.1GB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S01E04.Heads.Will.Roll.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,881MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S01E05.Machete.Charge.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,840MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S01E06.Everything.Is.Everything.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,768MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S01E07.Ends.1080p.10bit.BluRay.AAC5.1.HEVC-Vyndros.ITA-ENG.mkv,707MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S01E08.Gaslighting.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,707MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S01E09.Head-On.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,850MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S01E10.Flamingos.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,911MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S02E01.Face.of.the.Franchise.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,727MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S02E02.Enter.the.Temple.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,748MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S02E03.Elidee.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,717MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S02E04.World.of.Hurt.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,748MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S02E05.Most.Guys.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,686MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S02E06.Saturdaze.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,829MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S02E07.Everybody.Knows.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,748MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S02E08.Laying.in.the.Weeds.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,758MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S02E09.Million.Bucks.in.a.Bag.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,707MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S02E10.Game.Day.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,840MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S03E01.Seeds.of.Expansion.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,819MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S03E02.Bull.Rush.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,973MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S03E03.In.the.Teeth.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,891MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S03E04.Ride.and.Die.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,809MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S03E05.Make.Believe.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,696MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S03E06.I.Hate.New.York.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,881MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S03E07.Ricky-Leaks.1080p.10bit.BluRay.AAC5.1.HEVC-Vyndros.mkv,963MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
